Single

Using thermocycler module

P10 Mount:,left


Labware,Labware definition,Position
DNA Source plate,biorad_96_wellplate_200ul_pcr,1
Reaction plate,biorad_96_wellplate_200ul_pcr,thermocycler
"Trough (contains water, washes)",usascientific_12_reservoir_22ml,5
Reagents plate,biorad_96_wellplate_200ul_pcr,4


PARTS
name,well,plate,combinations
I13453_AB-1,A1,input-dna-map,"['5-I13453-1', '8-I13453-1']"
I13453_AB-2,A2,input-dna-map,"['5-I13453-2', '8-I13453-2']"
I13453_AB-4,A3,input-dna-map,"['5-I13453-4', '8-I13453-4']"
B0034m_BC-1,A4,input-dna-map,"['5-J23106-1', '5-I13453-1', '5-J23100-1', '5-J23102-1', '5-J23103-1', '5-J23107-1', '5-J23116-1', '5-R0040-1', '8--J23106-1', '8-I13453-1', '8-J23100-1', '8-J23102-1', '8-J23103-1', '8-J23107-1', '8-J23116-1', '8-R0040-1']"
C0012m_CD-1,A5,input-dna-map,['2-C0012m-1']
C0012m_CD-2,A6,input-dna-map,['2-C0012m-2']
C0012m_CD-4,A7,input-dna-map,['2-C0012m-4']
E0040m_C1N-1,A8,input-dna-map,"['8--J23106-1', '8-I13453-1', '8-J23100-1', '8-J23102-1', '8-J23103-1', '8-J23107-1', '8-J23116-1', '8-R0040-1']"
E0040m_C1N-2,A9,input-dna-map,"['8--J23106-2', '8-I13453-2', '8-J23100-2', '8-J23102-2', '8-J23103-2', '8-J23107-2', '8-J23116-2', '8-R0040-2']"
E0040m_C1N-4,A10,input-dna-map,"['8--J23106-4', '8-I13453-4', '8-J23100-4', '8-J23102-4', '8-J23103-4', '8-J23107-4', '8-J23116-4', '8-R0040-4']"
J23100_AB-1,B1,input-dna-map,"['5-J23100-1', '8-J23100-1']"
J23100_AB-2,B2,input-dna-map,"['5-J23100-2', '8-J23100-2']"
J23100_AB-4,B3,input-dna-map,"['5-J23100-4', '8-J23100-4']"
B0034m_BC-2,B4,input-dna-map,"['5-J23106-2', '5-I13453-2', '5-J23100-2', '5-J23102-2', '5-J23103-2', '5-J23107-2', '5-J23116-2', '5-R0040-2', '8--J23106-2', '8-I13453-2', '8-J23100-2', '8-J23102-2', '8-J23103-2', '8-J23107-2', '8-J23116-2', '8-R0040-2']"
C0040_CD-1,B5,input-dna-map,['2-C0040-1']
C0040_CD-2,B6,input-dna-map,['2-C0040-2']
C0040_CD-4,B7,input-dna-map,['2-C0040-4']
